Account No,Calendar_year,Month_num
09-3330-0500-06,2015,2
09-3338-0550-11,2016,4
09-3354-0800-01,2014,2
09-3367-5650-03,2015,12
22-0298-1500-01,2021,7
22-0494-1200-01,2012,8
24- 013-2 02-00,2011,3
36-0732-1550-02,2013,8
52-0901-0850-01,2022,10
52-0901-0850-01,2023,1
52-0901-0850-01,2023,4
52-1334-0750-01,2012,12
52-3241-0050-06,2021,8
9 -3221-0650-04,2010,5
92-3237-1650-01,2019,8
93,2015,5
93- 315-1 03-00,2010,11
93-1148-2650-01,2014,2
93-1323-0750-03,2019,10
93-3000-1450-01,2015,8
93-3003-0200-08,2016,6
93-3006-0300-01,2009,7
93-3006-0300-01,2016,8
93-3006-0300-01,2022,7
93-3007-0900-01,2023,8
93-3013-0500-01,2018,11
93-3014-1200-02,2011,11
93-3014-1450-01,2016,5
93-3022-0400-01,2022,11
93-3022-0450-01,2009,11
93-3022-0650-01,2008,3
93-3022-0950-02,2020,3
93-3022-1200-01,2018,3
93-3025-0100-01,2019,1
93-3025-0100-01,2019,9
93-3025-0100-01,2022,3
93-3026-0150-01,2008,12
93-3026-0700-04,2015,7
93-3026-0950-01,2016,1
93-3027-0100-01,2023,8
93-3027-0900-01,2010,6
93-3027-1050-01,2015,5
93-3027-1300-08,2017,8
93-3030-0150-10,2019,5
93-3030-0150-10,2020,1
93-3030-0600-37,2021,4
93-3030-0600-37,2021,7
93-3030-0700-04,2022,7
93-3030-0750-11,2023,8
93-3034-1000-02,2016,2
93-3034-1100-01,2011,8
93-3034-2650-01,2009,12
93-3034-2650-01,2010,3
93-3034-2650-04,2010,3
93-3034-2850-01,2015,7
93-3034-4600-05,2009,8
93-3034-4650-01,2011,2
93-3034-4800-02,2014,2
93-3034-4900-01,2008,8
93-3034-5050-01,2014,9
93-3034-6200-01,2018,2
93-3034-7550-01,2009,6
93-3034-7550-01,2015,5
93-3034-7550-01,2018,10
93-3034-7550-01,2020,4
93-3034-7550-01,2020,12
93-3034-7950-01,2014,4
93-3034-7950-01,2021,11
93-3035-0450-07,2012,11
93-3045-1250-01,2020,4
93-3045-1250-01,2020,9
93-3045-1250-01,2022,10
93-3045-1250-01,2023,1
93-3045-1250-01,2023,2
93-3046-1050-01,2021,12
93-3046-1050-01,2022,12
93-3049-1050-01,2016,10
93-3050-0050-05,2010,9
93-3050-0250-01,2021,8
93-3050-0250-01,2021,9
93-3051-0500-01,2018,2
93-3051-0600-01,2022,4
93-3054-0400-05,2011,2
93-3054-0400-05,2013,6
93-3054-0400-06,2015,6
93-3054-0400-07,2018,2
93-3055-0100-08,2015,9
93-3058-0250-05,2013,5
93-3058-0550-01,2018,7
93-3061-0700-01,2011,11
93-3061-1100-01,2016,6
93-3061-1100-01,2018,8
93-3061-1200-01,2017,2
93-3063-0300-01,2020,3
93-3063-0300-01,2022,5
93-3063-0300-01,2022,6
93-3063-0950-01,2015,2
93-3063-1400-02,2010,7
93-3063-2400-01,2022,3
93-3063-3050-08,2013,6
93-3063-3700-01,2016,11
93-3063-4200-01,2010,8
93-3063-4600-01,2012,8
93-3064-1300-06,2018,10
93-3065-0550-01,2009,4
93-3065-0600-01,2016,4
93-3065-0600-01,2018,11
93-3065-0600-01,2022,7
93-3066-0350-01,2019,2
93-3066-0350-01,2022,5
93-3066-0350-01,2022,5
93-3066-0900-02,2015,5
93-3066-1200-01,2010,5
93-3068-0300-02,2010,4
93-3068-0600-01,2013,5
93-3068-0650-05,2010,6
93-3069-1600-01,2011,9
93-3073-0252-02,2016,9
93-3073-0264-03,2017,3
93-3073-0450-03,2010,6
93-3073-2350-01,2013,5
93-3073-2700-01,2011,5
93-3073-2750-01,2018,4
93-3073-2950-01,2017,4
93-3073-2950-01,2021,9
93-3073-2950-01,2022,5
93-3073-3050-01,2021,4
93-3073-3150-04,2009,6
93-3073-3300-01,2018,6
93-3073-4000-01,2009,10
93-3073-4950-07,2018,6
93-3073-5750-02,2010,7
93-3073-5750-03,2015,12
93-3073-5750-07,2023,9
93-3073-5800-08,2015,6
93-3073-6000-01,2012,3
93-3076-0150-03,2009,9
93-3076-0150-03,2010,4
93-3076-0150-05,2018,3
93-3076-0150-05,2020,3
93-3076-0250-07,2022,6
93-3088-1900-04,2009,11
93-3088-1900-08,2014,11
93-3088-1900-08,2019,2
93-3088-1900-08,2021,6
93-3088-2950-02,2022,5
